uge_start;station;spot_type;grp;pris_dkk;currency
2024-03-11;DR1;20 sek;6,40;28234,11;DKK
2025-11-10;DK4;30 sek;75,10;290064,20;DKK
2025-03-17;DR1;15 sek;8,50;40995,11;DKK
2025-05-05;Kanal5;20 sek;87,30;317805,06;DKK
2023-01-09;DR1;30 sek;9,90;40010,87;DKK
2023-09-11;Kanal5;20 sek;35,00;142138,84;DKK
2025-09-08;TV2;15 sek;30,80;16323,72;EUR
2022-07-25;DR1;30 sek;10,80;49754,65;DKK
2022-07-18;TV3;30 sek;4,90;19535,67;DKK
2023-01-16;DK4;20 sek;10,50;49455,07;DKK
2025-06-23;DR1;20 sek;13,30;60522,89;DKK
2024-12-16;DK4;15 sek;44,70;208851,01;DKK
2024-07-01;TV2;15 sek;13,60;58068,08;DKK
2022-10-03;TV2;15 sek;27,70;111463,29;DKK
2025-03-17;TV3;30 sek;14,60;64942,86;DKK
2024-01-08;DR1;20 sek;14,50;55742,66;DKK
2023-05-08;Kanal5;20 sek;108,90;443270,06;DKK
2024-08-26;DK4;30 sek;53,00;31012,22;EUR
2023-05-15;DK4;15 sek;67,00;300984,52;DKK
2022-10-31;DR1;15 sek;96,10;399641,49;DKK
2022-11-14;TV2;15 sek;175,10;677852,75;DKK
2022-07-11;DK4;15 sek;3,10;14081,68;DKK
2025-03-24;TV2;30 sek;53,60;217372,99;DKK
2025-06-23;TV3;20 sek;9,30;40684,92;DKK
2023-11-06;DR1;20 sek;122,60;538433,83;DKK
2022-07-18;DR1;30 sek;6,30;22752,54;DKK
2025-06-02;TV3;20 sek;70,90;310197,05;DKK
2022-02-28;TV2;20 sek;25,90;119688,39;DKK
2023-02-06;TV2;15 sek;75,80;292863,99;DKK
2024-12-02;TV3;20 sek;47,60;209639,27;DKK
2022-03-07;DR1;20 sek;39,40;22648,77;EUR
2023-09-25;TV2;30 sek;20,20;102735,72;DKK
2024-03-04;Kanal5;30 sek;18,60;69187,54;DKK
2024-01-29;DR1;20 sek;110,30;443445,69;DKK
2023-07-03;TV3;15 sek;9,00;41730,21;DKK
2023-05-15;DR1;20 sek;65,10;281743,98;DKK
2024-07-08;TV3;30 sek;6,10;24154,27;DKK
2024-01-01;Kanal5;30 sek;27,90;131632,03;DKK
2023-10-16;TV2;15 sek;58,10;215751,54;DKK
2025-05-26;DK4;15 sek;149,50;79500,33;EUR
2023-08-21;TV3;20 sek;67,40;292315,93;DKK
2023-07-10;TV3;30 sek;6,80;32108,66;DKK
2025-12-15;TV3;30 sek;28,10;114850,79;DKK
2023-02-27;TV3;15 sek;14,10;55653,51;DKK
2023-12-18;DK4;30 sek;54,50;213859,02;DKK
2024-08-19;TV3;15 sek;39,70;167909,73;DKK
2022-07-04;TV2;30 sek;9,60;43134,54;DKK
2022-01-17;DR1;15 sek;27,80;107206,90;DKK
2023-03-27;TV2;15 sek;14,60;55315,33;DKK
2024-02-12;TV2;20 sek;71,80;314217,99;DKK
2024-08-19;DR1;20 sek;66,60;33544,05;EUR
2025-02-03;TV2;15 sek;59,20;269040,58;DKK
2022-09-05;DK4;15 sek;49,00;205351,41;DKK
2024-03-11;TV2;20 sek;13,90;64454,71;DKK
2023-05-15;DK4;20 sek;55,80;232300,94;DKK
2022-04-11;TV2;15 sek;32,50;127672,51;DKK
2024-09-09;Kanal5;30 sek;26,10;106235,04;DKK
2024-06-17;DR1;20 sek;20,20;12479,83;EUR
2022-02-28;TV2;30 sek;28,50;113253,52;DKK
2023-09-04;TV3;15 sek;75,80;298118,00;DKK
2022-08-29;TV2;30 sek;51,00;234634,55;DKK
2023-04-17;TV3;30 sek;42,90;22575,81;EUR
2023-01-02;TV2;30 sek;38,10;149602,13;DKK
2023-08-14;DR1;30 sek;22,40;106197,53;DKK
2025-06-09;DR1;30 sek;53,90;230692,11;DKK
2024-06-17;TV3;20 sek;11,70;49583,11;DKK
2022-09-19;DR1;15 sek;86,80;48357,13;EUR
2023-08-07;Kanal5;30 sek;17,70;79461,93;DKK
2023-04-03;TV3;30 sek;73,80;301693,45;DKK
2024-03-25;Kanal5;15 sek;16,30;78491,07;DKK
2024-03-04;DR1;30 sek;16,20;68789,84;DKK
2022-04-25;TV2;30 sek;50,10;184592,67;DKK
2024-02-05;Kanal5;30 sek;43,00;193973,80;DKK
2023-05-01;TV3;15 sek;101,20;480112,07;DKK
2022-12-26;TV3;15 sek;72,80;316714,12;DKK
2022-08-22;DR1;30 sek;116,40;428607,30;DKK
2022-05-23;TV3;20 sek;79,00;319289,82;DKK
2023-06-05;TV2;15 sek;96,70;384969,16;DKK
2023-11-06;DK4;30 sek;81,30;330567,11;DKK
2024-01-08;DK4;30 sek;20,40;82609,40;DKK
2022-01-24;TV3;15 sek;26,10;121833,41;DKK
2025-04-14;Kanal5;20 sek;40,20;21631,59;EUR
2024-05-20;Kanal5;15 sek;112,00;463267,24;DKK
2025-04-07;Kanal5;15 sek;104,70;63885,43;EUR
2023-10-30;TV3;20 sek;56,10;239746,72;DKK
2022-02-14;DK4;30 sek;129,50;564646,42;DKK
2025-06-16;DR1;30 sek;17,70;84418,40;DKK
2023-01-16;TV3;20 sek;29,30;16829,03;EUR
2023-07-31;TV2;15 sek;17,60;81967,93;DKK
2025-06-16;DK4;30 sek;19,10;71545,53;DKK
2022-09-05;TV2;20 sek;43,40;166952,08;DKK
2022-06-20;DK4;20 sek;15,50;62327,31;DKK
2024-05-13;Kanal5;30 sek;124,90;566349,43;DKK
2025-08-18;DK4;30 sek;36,80;156665,66;DKK
2023-05-22;TV2;30 sek;171,80;810092,26;DKK
2024-03-11;TV3;30 sek;11,90;49389,92;DKK
2023-03-20;DR1;15 sek;15,80;65412,71;DKK
2024-02-26;Kanal5;15 sek;81,10;345690,75;DKK
2024-04-08;TV3;15 sek;94,50;405662,43;DKK
2025-11-17;DR1;20 sek;56,30;237587,49;DKK
2024-06-17;DR1;20 sek;26,20;105663,86;DKK
2023-11-20;TV3;20 sek;173,40;775336,22;DKK
2025-02-03;Kanal5;15 sek;45,70;203023,59;DKK
2023-08-14;TV2;15 sek;43,30;193878,84;DKK
2023-11-06;TV3;20 sek;118,30;536537,29;DKK
2022-09-26;DR1;20 sek;21,70;88626,09;DKK
2023-01-09;DR1;30 sek;18,70;89331,61;DKK
2024-09-02;Kanal5;20 sek;60,40;236352,81;DKK
2022-10-17;DR1;30 sek;35,40;150206,22;DKK
2025-10-13;TV3;30 sek;83,80;355252,22;DKK
2025-11-03;DK4;30 sek;112,20;496038,30;DKK
2023-02-27;TV2;15 sek;25,40;93334,02;DKK
2024-12-23;DR1;15 sek;37,10;148744,78;DKK
2025-04-14;TV3;20 sek;59,10;265768,23;DKK
2022-10-24;DR1;30 sek;125,40;550068,49;DKK
2025-01-13;TV2;15 sek;86,60;41282,26;EUR
2025-04-28;TV2;20 sek;66,40;228808,31;DKK
2023-01-02;Kanal5;20 sek;40,40;168459,87;DKK
2022-07-11;DR1;20 sek;4,30;20158,98;DKK
2025-10-20;DK4;15 sek;55,20;253424,11;DKK
2022-05-30;DK4;15 sek;115,60;509883,00;DKK
2022-11-28;TV3;15 sek;51,50;193556,65;DKK
2025-05-19;Kanal5;20 sek;52,20;209541,15;DKK
2025-03-10;TV3;15 sek;32,50;18858,48;EUR
2023-05-08;TV3;15 sek;44,70;192274,58;DKK
2022-10-03;Kanal5;15 sek;26,00;87625,76;DKK
2025-03-03;DR1;30 sek;31,00;18081,00;EUR
2024-01-01;DK4;20 sek;17,80;69952,94;DKK
2023-10-16;DR1;20 sek;38,90;174086,66;DKK
2025-01-06;DR1;20 sek;28,70;129877,74;DKK
2025-01-13;DK4;30 sek;71,60;291675,26;DKK
2023-01-30;Kanal5;30 sek;59,10;243537,51;DKK
2023-04-24;DR1;30 sek;104,20;59163,04;EUR
2025-09-08;DK4;30 sek;51,80;210093,14;DKK
2023-01-09;TV2;15 sek;14,30;59015,95;DKK
2025-08-18;TV3;30 sek;81,10;310165,48;DKK
2022-07-25;TV3;30 sek;7,70;31753,66;DKK
2022-06-06;Kanal5;30 sek;45,80;197416,11;DKK
2024-04-01;TV2;20 sek;44,80;178557,18;DKK
2022-01-24;TV3;30 sek;42,80;170579,68;DKK
2024-11-11;TV2;30 sek;56,30;246315,58;DKK
2025-12-01;Kanal5;20 sek;106,40;425221,98;DKK
2025-10-13;TV3;15 sek;47,40;191479,41;DKK
2024-11-18;DR1;15 sek;37,40;191670,12;DKK
2023-08-07;Kanal5;30 sek;40,80;161927,23;DKK
2023-03-20;DK4;15 sek;10,90;44923,68;DKK
2023-10-09;TV3;30 sek;47,60;200859,78;DKK
2022-04-25;TV3;15 sek;33,60;146856,92;DKK
2024-06-17;Kanal5;20 sek;12,50;49141,69;DKK
2024-06-10;TV2;15 sek;59,00;303122,65;DKK
2025-08-18;TV2;15 sek;69,50;318714,27;DKK
2025-08-25;TV3;30 sek;56,80;214501,29;DKK
2022-10-17;TV2;30 sek;23,30;102694,86;DKK
2022-01-24;TV2;15 sek;41,80;167716,45;DKK
2022-10-10;DK4;20 sek;27,30;103081,43;DKK
2023-02-06;DR1;20 sek;86,60;364828,92;DKK
2025-07-28;TV2;30 sek;15,30;72495,15;DKK
2024-04-15;DK4;30 sek;150,30;647589,13;DKK
2024-02-05;TV2;20 sek;93,90;434132,78;DKK
2024-09-16;TV2;20 sek;19,50;75368,27;DKK
2024-03-11;TV3;30 sek;18,90;70833,48;DKK
2022-04-25;TV3;20 sek;92,80;341319,29;DKK
2025-08-04;TV2;30 sek;25,00;99768,85;DKK
2024-11-25;TV2;15 sek;225,50;1038394,76;DKK
2023-10-16;TV2;30 sek;49,70;201521,35;DKK
2024-11-18;Kanal5;15 sek;85,10;319447,12;DKK
2022-09-05;DR1;30 sek;43,00;184115,18;DKK
2024-09-09;DR1;15 sek;41,50;179951,26;DKK
2022-04-11;DR1;15 sek;70,30;303480,26;DKK
2024-05-13;TV2;20 sek;117,00;506557,16;DKK
2022-02-28;Kanal5;20 sek;54,10;245156,16;DKK
2023-04-10;TV2;30 sek;137,50;659370,66;DKK
2022-02-07;TV3;30 sek;41,40;168528,06;DKK
2024-12-30;TV3;20 sek;25,90;96726,22;DKK
2022-06-13;Kanal5;15 sek;78,80;310132,35;DKK
2025-12-15;TV2;15 sek;41,40;150500,93;DKK
2022-10-10;DR1;15 sek;37,30;160261,21;DKK
2022-11-28;TV2;30 sek;56,30;265758,21;DKK
2024-04-15;TV3;20 sek;105,50;479134,03;DKK
2024-01-29;DR1;20 sek;73,50;307569,65;DKK
2025-02-03;Kanal5;20 sek;42,00;178865,55;DKK
2024-09-16;Kanal5;20 sek;26,20;128000,00;DKK
2023-01-16;TV2;15 sek;15,80;74634,42;DKK
2023-08-14;TV3;30 sek;29,10;124001,38;DKK
2025-03-31;TV2;20 sek;38,10;150996,94;DKK
2025-05-05;DK4;30 sek;106,10;451860,86;DKK
2022-06-27;TV2;15 sek;17,80;77421,62;DKK
2022-10-24;DK4;15 sek;51,90;240858,44;DKK
2022-01-10;Kanal5;30 sek;15,40;8227,12;EUR
2023-04-17;TV3;20 sek;59,80;227382,45;DKK
2022-09-19;Kanal5;30 sek;40,10;163687,76;DKK
2022-08-08;DK4;15 sek;14,30;62269,33;DKK
2022-11-28;TV2;15 sek;67,90;270965,44;DKK
2022-05-09;Kanal5;20 sek;97,70;418868,24;DKK
2025-03-31;Kanal5;20 sek;32,80;21797,90;EUR
2025-04-14;DK4;30 sek;27,10;119850,53;DKK
2024-06-17;DR1;15 sek;23,40;107322,00;DKK
2025-11-03;TV2;15 sek;122,40;530597,23;DKK
2023-07-24;DK4;20 sek;6,10;28436,18;DKK
2024-12-16;TV3;30 sek;22,30;112024,25;DKK
2025-10-27;DR1;15 sek;60,90;229144,13;DKK
2023-06-05;DR1;15 sek;162,00;654457,08;DKK
2022-06-20;DR1;15 sek;25,80;100069,18;DKK
2025-11-17;TV2;30 sek;99,00;364953,26;DKK
2025-07-07;DR1;20 sek;6,60;4116,15;EUR
2023-11-27;TV3;15 sek;69,50;298574,23;DKK
2022-11-28;Kanal5;30 sek;75,60;320686,43;DKK
2024-01-29;Kanal5;20 sek;83,40;319230,67;DKK
2024-07-22;TV2;15 sek;6,50;3423,77;EUR
2025-02-03;DR1;30 sek;63,90;273312,15;DKK
2024-07-15;DK4;30 sek;9,00;38677,90;DKK
2022-07-11;TV3;15 sek;5,80;28593,09;DKK
2024-02-26;TV2;20 sek;43,60;198881,43;DKK
2023-04-17;DK4;30 sek;54,20;230143,06;DKK
2022-06-20;DR1;30 sek;23,60;98509,64;DKK
2023-02-20;TV2;15 sek;50,00;208104,45;DKK
2024-02-12;DK4;30 sek;50,80;224989,11;DKK
2025-03-31;DK4;15 sek;36,20;141543,95;DKK
2022-10-10;Kanal5;30 sek;22,60;97446,18;DKK
2022-05-30;TV2;30 sek;112,40;467132,51;DKK
2025-02-24;DK4;15 sek;22,20;98726,69;DKK
2025-09-22;DR1;15 sek;21,10;81756,15;DKK
