kampagne;omkostning;klik;visninger;konverteringer;konv_vaerdi;dato;currency
HH_Search_NonBrand_Jul_202412;9216.77;1777;40342;28;19373.17;14-12-2024;DKK
Havehjornet_Search_Brand_BlackFriday_202211;11771.24;2154;40871;60;25909.29;21-11-2022;DKK
hh_dk_Search_Brand_Jul_202512;12642.32;1910;51356;57;43652.57;21-12-2025;DKK
HH_Search_NonBrand_BlackFriday_202511;3446.34;553;15929;10;9809.75;08-11-2025;DKK
Havehjornet_Search_Brand_BlackFriday_202511;4986.06;665;16970;21;14601.11;02-11-2025;DKK
Havehjornet_Search_NonBrand_Jul_202312;9648.61;1515;64244;32;18088.35;23-12-2023;DKK
Havehjornet_Search_Brand_Alm_202502;4449.29;770;27437;20;15558.50;02-02-2025;DKK
HH_Search_Brand_Havesaeson_202204;5600.35;630;16304;25;18407.57;08-04-2022;DKK
Havehjornet_Search_NonBrand_Alm_202310;4959.94;778;26750;17;9467.55;04-10-2023;DKK
Havehjornet_Search_NonBrand_Alm_202501;16156.27;2391;68319;48;36059.81;22-01-2025;DKK
HAVEHJ_Search_Brand_Alm_202507;4445.74;943;15294;24;12176.46;20-07-2025;DKK
hh_dk_Search_NonBrand_BlackFriday_202511;18752.65;3263;56176;56;35211.64;29-11-2025;DKK
Havehjornet_Search_Brand_Alm_202401;4598.87;734;14343;20;14471.27;10-01-2024;DKK
hh_dk_Search_NonBrand_Alm_202207;7399.31;1102;20566;22;16988.22;13-07-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202405;10186.51;1621;33860;51;30982.12;18-05-2024;DKK
HH_Search_Brand_BlackFriday_202211;12019.46;1393;41542;64;39875.08;22-11-2022;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202306_kopi;28317.81;5406;76673;100;47439.05;03-06-2023;DKK
Havehjornet_Search_NonBrand_Havesaeson_202405;22071.88;4091;69247;67;45364.67;30-05-2024;DKK
Havehjornet_Search_Brand_Havesaeson_202505;11920.04;1924;32842;58;27839.94;13-05-2025;DKK
HH_Search_Brand_Alm_202508;2903.69;349;10288;14;9950.18;10-08-2025;DKK
hh_dk_Search_Brand_Havesaeson_202405;13767.84;1915;69880;55;42157.61;12-05-2024;DKK
hh_dk_Search_NonBrand_Havesaeson_202306;66410.33;8634;182820;208;125410.15;14-06-2023;DKK
Havehjornet_Search_NonBrand_Jul_202212;27207.36;3780;85171;84;49344.70;04-12-2022;DKK
HH_Search_Brand_Havesaeson_202404;9986.39;2353;25356;43;23135.27;30-04-2024;DKK
HAVEHJ_Search_Brand_BlackFriday_202511;4511.24;1057;11572;21;11224.77;23-11-2025;DKK
hh_dk_Search_NonBrand_Havesaeson_202506;24758.71;2939;94844;83;73158.89;17-06-2025;DKK
HH_Search_NonBrand_BlackFriday_202311;27681.90;6289;74657;103;63876.40;21-11-2023;DKK
HH_Search_NonBrand_Havesaeson_202405;13143.53;2598;44184;47;32319.29;29-05-2024;DKK
HAVEHJ_Search_NonBrand_Alm_202203;1140.04;1176;55979;27;2440.73;01-03-2022;EUR
hh_dk_Search_NonBrand_Havesaeson_202504;48816.17;9782;281688;177;115505.92;29-04-2025;DKK
Havehjornet_Search_Brand_Jul_202512;6133.27;1338;20054;27;19947.87;26-12-2025;DKK
hh_dk_Search_Brand_Alm_202410;1393.70;158;8877;7;4741.25;08-10-2024;DKK
HH_Search_Brand_Havesaeson_202304;2603.67;313;7684;12;6717.08;04-04-2023;DKK
HH_Search_NonBrand_Alm_202303;16517.79;3228;50396;51;33536.69;02-03-2023;DKK
HH_Search_NonBrand_Alm_202502;12675.96;1660;43034;49;29987.03;08-02-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202508;20555.12;2724;69278;67;60841.82;14-08-2025;DKK
HH_Search_NonBrand_Alm_202501;10225.26;1199;58145;32;25646.92;12-01-2025;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202304;10978.37;1655;32971;39;23179.00;08-04-2023;DKK
Havehjornet_Search_NonBrand_Havesaeson_202505;29016.75;3658;169499;99;58234.57;12-05-2025;DKK
Havehjornet_Search_Brand_Alm_202208_kopi;4635.60;840;28140;19;15647.07;01-08-2022;DKK
HH_Search_Brand_Alm_202401;4454.71;1086;18279;23;12714.35;06-01-2024;DKK
hh_dk_Search_NonBrand_Alm_202310;3046.82;3329;69719;66;7930.11;18-10-2023;EUR
HH_Search_Brand_Jul_202412;1927.31;1713;49831;68;4674.62;06-12-2024;EUR
HAVEHJ_Search_Brand_Alm_202507;4361.63;735;19220;22;13306.85;17-07-2025;DKK
hh_dk_Search_Brand_Alm_202301_kopi;4111.36;540;21670;19;8149.90;18-01-2023;DKK
Havehjornet_Search_NonBrand_Alm_202207;1310.63;1398;35140;29;3270.97;30-07-2022;EUR
HAVEHJ_Search_Brand_Alm_202509;4042.35;451;12569;22;15050.84;08-09-2025;DKK
HH_Search_Brand_Havesaeson_202305;18028.27;3712;62627;74;57399.93;15-05-2023;DKK
Havehjornet_Search_NonBrand_Alm_202303;17187.35;1946;73185;53;30968.04;21-03-2023;DKK
Havehjornet_Search_NonBrand_Alm_202310;15992.11;2167;94605;53;33989.99;15-10-2023;DKK
hh_dk_Search_NonBrand_Alm_202301;23054.87;4442;68473;67;59762.94;01-01-2023;DKK
hh_dk_Search_Brand_Alm_202207;1065.60;1279;45907;32;2866.53;01-07-2022;EUR
hh_dk_Search_Brand_Alm_202507;4821.82;536;16109;19;15866.65;26-07-2025;DKK
hh_dk_Search_Brand_Alm_202301;2971.48;551;10256;14;8614.18;27-01-2023;DKK
HH_Search_NonBrand_Alm_202307;12490.81;1575;40150;40;27410.01;11-07-2023;DKK
HH_Search_NonBrand_Alm_202302;4213.20;817;11222;13;7718.37;02-02-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202310;4753.02;1100;12309;18;9574.19;28-10-2023;DKK
Havehjornet_Search_NonBrand_Alm_202402;10651.92;2252;36296;42;23927.14;03-02-2024;DKK
hh_dk_Search_Brand_Jul_202312;21088.21;4794;56671;111;88558.28;12-12-2023;DKK
hh_dk_Search_Brand_BlackFriday_202511;12380.91;1605;45548;67;41137.66;13-11-2025;DKK
HAVEHJ_Search_NonBrand_Jul_202412;8976.00;1119;29650;27;20143.92;17-12-2024;DKK
hh_dk_Search_NonBrand_Alm_202407_kopi;5046.33;583;23837;15;9808.55;20-07-2024;DKK
hh_dk_Search_NonBrand_Alm_202510_kopi;6902.89;996;21796;23;14133.00;06-10-2025;DKK
HH_Search_Brand_Havesaeson_202505;7763.27;1339;51598;42;16178.07;20-05-2025;DKK
HH_Search_Brand_Alm_202408;3017.78;454;10041;14;9933.95;09-08-2024;DKK
hh_dk_Search_Brand_Havesaeson_202305;4077.69;462;10370;19;10847.21;19-05-2023;DKK
hh_dk_Search_NonBrand_Alm_202209;18472.09;4191;66725;71;43283.26;07-09-2022;DKK
hh_dk_Search_NonBrand_Havesaeson_202204;48136.32;5553;314501;159;104184.83;23-04-2022;DKK
hh_dk_Search_Brand_Alm_202210;6974.44;1159;19845;36;21725.25;25-10-2022;DKK
Havehjornet_Search_NonBrand_Alm_202403;21751.37;4713;56991;65;44704.90;20-03-2024;DKK
hh_dk_Search_NonBrand_Alm_202302;2415.86;328;13899;8;4938.74;28-02-2023;DKK
HH_Search_NonBrand_Havesaeson_202306;3447.51;2899;114998;91;6675.62;26-06-2023;EUR
hh_dk_Search_NonBrand_Alm_202303;11986.47;1618;41040;36;28961.31;09-03-2023;DKK
Havehjornet_Search_NonBrand_Havesaeson_202405;66013.54;10037;180289;221;113309.84;02-05-2024;DKK
Havehjornet_Search_Brand_Alm_202507;2299.56;306;10546;10;7026.33;24-07-2025;DKK
hh_dk_Search_Brand_Jul_202512;5526.84;634;31110;26;17893.41;24-12-2025;DKK
Havehjornet_Search_NonBrand_Alm_202309;16802.00;2770;103619;52;30855.85;27-09-2023;DKK
HH_Search_NonBrand_Alm_202501;14979.77;2020;75977;55;37228.40;09-01-2025;DKK
HAVEHJ_Search_Brand_Havesaeson_202406;8657.27;1190;24716;45;32024.37;11-06-2024;DKK
Havehjornet_Search_NonBrand_Jul_202212;12931.80;2684;53330;49;33491.68;10-12-2022;DKK
Havehjornet_Search_NonBrand_Jul_202212;1147.80;1640;42860;32;2628.09;28-12-2022;EUR
HH_Search_Brand_Alm_202303;8955.93;1422;27869;37;26033.37;08-03-2023;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202406;16002.68;3183;41760;47;31270.10;11-06-2024;DKK
HAVEHJ_Search_NonBrand_Alm_202503;22572.92;3795;90004;79;58170.40;08-03-2025;DKK
Havehjornet_Search_Brand_Havesaeson_202405;4544.96;656;24287;20;13007.51;28-05-2024;DKK
HH_Search_NonBrand_Alm_202601;9492.88;2338;38940;34;15546.82;04-01-2026;DKK
HH_Search_Brand_Alm_202207;483.27;598;10602;17;1179.66;25-07-2022;EUR
HAVEHJ_Search_NonBrand_Havesaeson_202505;55442.00;9418;291066;180;125887.61;18-05-2025;DKK
hh_dk_Search_Brand_Alm_202201_kopi;3383.02;493;9445;16;9109.87;24-01-2022;DKK
hh_dk_Search_Brand_Alm_202202;19657.83;2493;49336;85;69997.77;23-02-2022;DKK
HH_Search_NonBrand_Alm_202403_kopi;9281.59;1110;46424;33;20600.05;04-03-2024;DKK
Havehjornet_Search_Brand_Havesaeson_202404;4920.17;628;17134;24;14870.60;14-04-2024;DKK
HH_Search_Brand_Havesaeson_202204;11816.11;2335;42229;64;30766.31;27-04-2022;DKK
Havehjornet_Search_NonBrand_Jul_202512;8373.22;1052;32667;32;17810.62;06-12-2025;DKK
Havehjornet_Search_NonBrand_Havesaeson_202504;5930.01;1380;31091;22;17451.03;05-04-2025;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202305;18666.89;3414;100846;65;36927.69;04-05-2023;DKK
hh_dk_Search_Brand_Alm_202507;4320.69;736;20318;21;12123.53;03-07-2025;DKK
HAVEHJ_Search_Brand_Jul_202412;2252.50;2490;47058;68;6195.55;01-12-2024;EUR
hh_dk_Search_NonBrand_Alm_202210_kopi;13746.89;2549;43823;50;28077.16;30-10-2022;DKK
hh_dk_Search_NonBrand_Alm_202301;7557.53;1762;36414;22;14271.31;12-01-2023;DKK
HAVEHJ_Search_Brand_Jul_202512;7025.30;1608;42849;36;21500.36;12-12-2025;DKK
hh_dk_Search_NonBrand_Alm_202307;22927.76;2894;61622;71;53754.04;03-07-2023;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202211;19228.00;2333;93433;70;50368.92;15-11-2022;DKK
HAVEHJ_Search_Brand_Alm_202501_kopi;4868.63;812;23053;20;14589.29;24-01-2025;DKK
Havehjornet_Search_Brand_Alm_202307;1067.19;222;3859;5;3746.91;30-07-2023;DKK
HH_Search_NonBrand_Alm_202309;11309.55;1613;37491;37;23518.47;19-09-2023;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202411;16834.35;4024;69333;60;32707.78;07-11-2024;DKK
Havehjornet_Search_Brand_Havesaeson_202204;2703.12;442;6979;15;7972.79;03-04-2022;DKK
hh_dk_Search_NonBrand_Havesaeson_202505;48900.08;11698;232864;148;97868.41;22-05-2025;DKK
hh_dk_Search_Brand_Alm_202403;5387.83;795;33035;24;13404.29;17-03-2024;DKK
HAVEHJ_Search_NonBrand_Alm_202210;3004.55;547;19535;9;5974.73;26-10-2022;DKK
Havehjornet_Search_NonBrand_Alm_202501;17827.83;2054;58586;64;26677.78;06-01-2025;DKK
Havehjornet_Search_NonBrand_Jul_202212;39989.26;6952;113051;124;102161.78;18-12-2022;DKK
HAVEHJ_Search_Brand_Alm_202503;10730.93;1666;40035;54;35011.02;19-03-2025;DKK
Havehjornet_Search_Brand_BlackFriday_202211;5644.01;637;19916;23;15026.70;01-11-2022;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202306;10041.24;1153;34238;33;26921.15;09-06-2023;DKK
HAVEHJ_Search_Brand_BlackFriday_202511;1551.31;1480;48557;46;4165.94;22-11-2025;EUR
Havehjornet_Search_Brand_Havesaeson_202304;6872.52;1458;29225;28;31306.03;22-04-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202410;12564.58;2351;36145;39;37024.89;01-10-2024;DKK
hh_dk_Search_Brand_Alm_202402;11856.94;2641;49779;50;37435.95;21-02-2024;DKK
HH_Search_NonBrand_Alm_202403;4921.90;1033;16439;15;11306.48;26-03-2024;DKK
hh_dk_Search_NonBrand_Jul_202212;57533.30;7520;263804;193;97711.21;17-12-2022;DKK
hh_dk_Search_Brand_Alm_202203_kopi;6095.56;749;16811;26;20234.04;18-03-2022;DKK
Havehjornet_Search_Brand_BlackFriday_202511;13972.64;3321;39508;61;42613.91;26-11-2025;DKK
HAVEHJ_Search_Brand_BlackFriday_202411;2605.42;351;8331;13;9790.59;01-11-2024;DKK
hh_dk_Search_NonBrand_Alm_202209;7886.68;1688;43312;26;16529.23;12-09-2022;DKK
Havehjornet_Search_Brand_Jul_202412_kopi;6684.73;1501;19068;33;18031.71;04-12-2024;DKK
hh_dk_Search_Brand_Alm_202401;3441.43;488;10212;16;9187.04;30-01-2024;DKK
hh_dk_Search_Brand_BlackFriday_202211;12505.80;1921;44221;55;39293.01;16-11-2022;DKK
Havehjornet_Search_Brand_Havesaeson_202306;2016.96;1850;57194;61;5870.05;20-06-2023;EUR
hh_dk_Search_NonBrand_BlackFriday_202511_kopi;948.53;176;5728;4;2527.13;03-11-2025;DKK
hh_dk_Search_NonBrand_Alm_202503;11154.64;1742;73211;39;26369.85;23-03-2025;DKK
HH_Search_Brand_Alm_202202;3634.41;672;16298;17;9764.39;09-02-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202305;929.67;1187;38012;34;2681.50;23-05-2023;EUR
HH_Search_NonBrand_Alm_202302;15275.51;1875;54925;46;27070.56;20-02-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202310;3892.74;488;11506;12;8523.54;29-10-2023;DKK
HH_Search_NonBrand_Alm_202210;13745.78;2061;44066;46;31701.90;09-10-2022;DKK
HH_Search_NonBrand_BlackFriday_202411;8508.47;967;24987;28;18899.07;26-11-2024;DKK
HH_Search_NonBrand_Alm_202509;16811.86;2428;78747;54;27726.58;09-09-2025;DKK
Havehjornet_Search_Brand_Alm_202308;3563.96;447;23022;18;10777.33;28-08-2023;DKK
hh_dk_Search_NonBrand_BlackFriday_202511;31280.87;5653;150757;105;69797.34;23-11-2025;DKK
HH_Search_Brand_Alm_202502;961.51;1498;23923;38;3205.77;07-02-2025;EUR
HH_Search_Brand_BlackFriday_202411;11689.17;1612;49502;52;32313.90;19-11-2024;DKK
HAVEHJ_Search_Brand_Alm_202510;5651.54;1068;16044;26;18930.25;26-10-2025;DKK
Havehjornet_Search_NonBrand_Havesaeson_202504;24525.13;2966;67557;91;51639.21;10-04-2025;DKK
HH_Search_NonBrand_Alm_202402_kopi;5832.87;652;21322;20;12757.66;04-02-2024;DKK
HH_Search_NonBrand_Jul_202412;5056.61;588;14951;17;9889.65;04-12-2024;DKK
hh_dk_Search_Brand_Alm_202308;531.41;675;15446;17;1668.33;13-08-2023;EUR
HH_Search_NonBrand_Alm_202510;8301.20;1331;23799;30;18311.88;04-10-2025;DKK
HAVEHJ_Search_Brand_Jul_202512;3555.27;848;9186;16;11758.50;18-12-2025;DKK
Havehjornet_Search_NonBrand_Alm_202410;6764.13;874;17667;21;14850.59;30-10-2024;DKK
Havehjornet_Search_NonBrand_Alm_202203_kopi;14419.34;3283;73957;42;37589.39;31-03-2022;DKK
HH_Search_Brand_Alm_202307;3131.17;396;11641;17;7114.59;06-07-2023;DKK
hh_dk_Search_NonBrand_Alm_202407;13112.26;1675;33672;42;21767.66;19-07-2024;DKK
HH_Search_Brand_Havesaeson_202204;3174.06;471;9187;17;9614.67;05-04-2022;DKK
Havehjornet_Search_Brand_Alm_202508;10128.00;1774;30716;43;39051.89;20-08-2025;DKK
hh_dk_Search_NonBrand_Havesaeson_202305;17351.82;2236;56150;50;38012.58;14-05-2023;DKK
hh_dk_Search_NonBrand_BlackFriday_202311;31030.45;5252;99758;102;77967.07;01-11-2023;DKK
HH_Search_NonBrand_Havesaeson_202205;11878.34;1584;32638;37;20549.19;14-05-2022;DKK
Havehjornet_Search_Brand_Alm_202408_kopi;860.22;1566;21520;33;2180.80;19-08-2024;EUR
hh_dk_Search_NonBrand_BlackFriday_202311;5551.70;1089;29811;18;13009.94;18-11-2023;DKK
hh_dk_Search_Brand_Jul_202312;2077.85;3115;41830;81;4692.89;29-12-2023;EUR
hh_dk_Search_Brand_Havesaeson_202404_kopi;9449.76;1172;25438;42;35098.84;26-04-2024;DKK
Havehjornet_Search_Brand_Alm_202408;878.09;950;16986;30;2656.93;29-08-2024;EUR
hh_dk_Search_Brand_BlackFriday_202411;13648.64;2934;44988;57;39600.67;22-11-2024;DKK
Havehjornet_Search_Brand_Alm_202408_kopi;823.72;822;15896;32;2682.39;25-08-2024;EUR
Havehjornet_Search_Brand_Alm_202503;6028.62;1303;35739;26;20298.26;27-03-2025;DKK
HH_Search_Brand_Alm_202307;5955.31;689;15512;24;17272.00;09-07-2023;DKK
hh_dk_Search_Brand_Alm_202601;4900.45;828;15369;20;15605.19;04-01-2026;DKK
hh_dk_Search_NonBrand_Alm_202403;5200.79;1242;19120;19;8498.79;23-03-2024;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202305;21083.40;4055;97743;77;39770.96;11-05-2023;DKK
HAVEHJ_Search_Brand_Alm_202201_kopi;4644.68;805;14584;21;12412.28;26-01-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202403;7222.07;1179;33586;24;16387.77;12-03-2024;DKK
hh_dk_Search_Brand_Alm_202208;4175.12;465;17946;18;9839.86;10-08-2022;DKK
HH_Search_Brand_Alm_202309;15684.33;2888;64579;80;57278.16;23-09-2023;DKK
Havehjornet_Search_Brand_Alm_202307;2468.60;308;6427;13;9093.97;15-07-2023;DKK
hh_dk_Search_Brand_Jul_202412;3073.91;373;9862;12;10997.48;09-12-2024;DKK
Havehjornet_Search_NonBrand_Havesaeson_202204;7330.86;1150;33653;24;16723.03;30-04-2022;DKK
HH_Search_NonBrand_Jul_202412_kopi;20175.82;3887;86616;63;49339.38;16-12-2024;DKK
hh_dk_Search_NonBrand_Alm_202508;10242.97;2146;30626;36;24840.16;15-08-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202201;1990.79;3423;73147;46;4103.38;12-01-2022;EUR
Havehjornet_Search_Brand_Alm_202303;5809.84;715;27435;28;16716.74;05-03-2023;DKK
Havehjornet_Search_Brand_Alm_202409;10834.15;1711;29604;47;30910.87;01-09-2024;DKK
hh_dk_Search_NonBrand_Alm_202207;4728.38;1010;14137;14;10281.56;28-07-2022;DKK
Havehjornet_Search_Brand_Alm_202307;2723.35;642;8982;14;7925.18;18-07-2023;DKK
HH_Search_Brand_Alm_202307;5952.83;1020;37049;25;23100.68;12-07-2023;DKK
HH_Search_Brand_Havesaeson_202304;4293.83;1062;21649;22;11546.25;20-04-2023;DKK
hh_dk_Search_Brand_Alm_202203_kopi;3489.81;708;10906;15;12649.80;19-03-2022;DKK
Havehjornet_Search_NonBrand_Alm_202308_kopi;19589.63;2960;93542;67;39073.69;08-08-2023;DKK
HH_Search_NonBrand_Alm_202409;8197.65;1331;31870;27;19586.21;01-09-2024;DKK
Havehjornet_Search_Brand_Havesaeson_202304;17090.82;2765;64095;83;42782.67;23-04-2023;DKK
Havehjornet_Search_NonBrand_Alm_202208;20244.47;3290;104563;58;43946.03;23-08-2022;DKK
hh_dk_Search_Brand_Alm_202501;4189.00;568;12375;19;12646.55;29-01-2025;DKK
Havehjornet_Search_NonBrand_Alm_202401;12213.14;2060;34940;39;31276.64;20-01-2024;DKK
hh_dk_Search_NonBrand_Alm_202402;11153.63;1580;45882;36;23102.90;06-02-2024;DKK
hh_dk_Search_Brand_Alm_202310;3688.99;432;17924;17;11811.21;14-10-2023;DKK
HAVEHJ_Search_Brand_Alm_202408;6890.71;989;37590;30;17466.64;13-08-2024;DKK
hh_dk_Search_NonBrand_Jul_202512;14823.53;2784;72653;44;31738.43;22-12-2025;DKK
hh_dk_Search_Brand_Alm_202409;11762.56;1451;33422;51;27769.64;27-09-2024;DKK
Havehjornet_Search_Brand_Havesaeson_202206;16534.74;2985;47234;70;36303.49;22-06-2022;DKK
HAVEHJ_Search_NonBrand_Jul_202512;5638.78;670;22151;21;10927.47;07-12-2025;DKK
hh_dk_Search_NonBrand_Alm_202301;33180.97;7085;97266;109;64643.50;16-01-2023;DKK
hh_dk_Search_Brand_Alm_202407;1689.60;235;9522;7;4836.88;22-07-2024;DKK
Havehjornet_Search_NonBrand_Havesaeson_202404;29388.90;5052;112983;94;62591.44;24-04-2024;DKK
Havehjornet_Search_Brand_Jul_202512;10423.09;2523;34813;50;34976.94;06-12-2025;DKK
HH_Search_Brand_Alm_202408;3376.45;400;9356;17;11807.39;30-08-2024;DKK
HAVEHJ_Search_Brand_Alm_202507;4016.97;544;10521;21;12461.09;28-07-2025;DKK
hh_dk_Search_Brand_Alm_202309;7089.47;1472;36565;30;26706.96;20-09-2023;DKK
hh_dk_Search_NonBrand_Havesaeson_202504;11781.64;2237;31012;36;23250.06;04-04-2025;DKK
HH_Search_Brand_Alm_202501;382.56;516;11358;13;1082.76;23-01-2025;EUR
HH_Search_Brand_Alm_202307;3900.60;516;10965;16;10441.85;11-07-2023;DKK
HH_Search_NonBrand_Alm_202202;8868.33;1040;27494;32;20260.28;04-02-2022;DKK
Havehjornet_Search_NonBrand_Jul_202312;13836.79;1739;54604;46;42156.52;28-12-2023;DKK
Havehjornet_Search_NonBrand_Havesaeson_202405;30711.53;4117;91242;106;63590.08;26-05-2024;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202511_kopi;21076.28;2448;116106;80;59059.11;01-11-2025;DKK
HH_Search_NonBrand_Alm_202408_kopi;5163.87;786;24206;15;9301.02;20-08-2024;DKK
Havehjornet_Search_NonBrand_Alm_202503;212.00;195;6568;6;412.75;07-03-2025;EUR
HAVEHJ_Search_NonBrand_Alm_202508;11577.58;1449;50028;43;21066.33;21-08-2025;DKK
HAVEHJ_Search_Brand_Alm_202301;3468.68;734;19428;14;11448.27;20-01-2023;DKK
hh_dk_Search_Brand_Alm_202407;2388.29;383;8278;11;7185.40;21-07-2024;DKK
hh_dk_Search_NonBrand_Alm_202507;31781.22;4223;118982;96;64512.11;17-07-2025;DKK
hh_dk_Search_Brand_BlackFriday_202511;17282.86;1975;77150;82;53108.71;12-11-2025;DKK
HAVEHJ_Search_Brand_Havesaeson_202206;10406.46;1485;27214;56;33858.98;05-06-2022;DKK
HAVEHJ_Search_NonBrand_Jul_202412;2992.63;4935;58743;68;7714.00;27-12-2024;EUR
HH_Search_Brand_Havesaeson_202304;4634.25;1087;20068;20;15441.34;28-04-2023;DKK
Havehjornet_Search_Brand_Alm_202207;2678.18;395;13823;13;8346.67;21-07-2022;DKK
HH_Search_NonBrand_Alm_202310;6519.95;786;31668;19;11588.40;24-10-2023;DKK
HH_Search_NonBrand_Alm_202201;6928.88;1085;18655;26;13664.18;16-01-2022;DKK
HAVEHJ_Search_Brand_Alm_202207_kopi;1035.81;181;3003;4;2525.44;30-07-2022;DKK
HH_Search_NonBrand_BlackFriday_202511;8004.93;1496;28946;27;20696.90;06-11-2025;DKK
Havehjornet_Search_NonBrand_Havesaeson_202305;31626.79;6477;88868;108;53778.81;23-05-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202502;4942.50;931;17709;16;13654.46;19-02-2025;DKK
HH_Search_Brand_Jul_202512;11230.89;2275;30728;58;36975.75;30-12-2025;DKK
HAVEHJ_Search_Brand_Alm_202210_kopi;4293.40;700;22242;23;13182.33;22-10-2022;DKK
HH_Search_Brand_Havesaeson_202204;4238.68;889;13099;20;12535.64;24-04-2022;DKK
HH_Search_Brand_Havesaeson_202304;8360.72;1315;31887;38;22671.30;25-04-2023;DKK
Havehjornet_Search_NonBrand_Alm_202201;8499.20;1435;25501;33;19943.49;28-01-2022;DKK
HAVEHJ_Search_Brand_Alm_202307;3499.58;409;9525;16;13574.07;05-07-2023;DKK
HH_Search_NonBrand_Jul_202512;815.94;997;22451;19;1706.98;03-12-2025;EUR
HAVEHJ_Search_Brand_Alm_202307;1118.92;166;3340;5;3880.69;02-07-2023;DKK
hh_dk_Search_NonBrand_Alm_202208;13036.92;2919;55176;42;22738.03;10-08-2022;DKK
hh_dk_Search_Brand_Alm_202409;3605.44;790;10055;15;12117.15;30-09-2024;DKK
HH_Search_NonBrand_Alm_202601;10826.94;1955;28926;38;17645.19;03-01-2026;DKK
hh_dk_Search_NonBrand_BlackFriday_202411;17570.54;2073;104013;52;35065.16;11-11-2024;DKK
HH_Search_Brand_Havesaeson_202206;17674.74;2344;44545;84;38840.73;11-06-2022;DKK
Havehjornet_Search_NonBrand_Alm_202307;12017.86;1477;75454;36;24684.55;21-07-2023;DKK
Havehjornet_Search_Brand_BlackFriday_202311;7598.10;947;42413;39;21275.12;25-11-2023;DKK
hh_dk_Search_Brand_Jul_202212;621.27;686;30229;20;1958.92;14-12-2022;EUR
Havehjornet_Search_Brand_Alm_202509;5486.70;807;31210;24;15354.51;16-09-2025;DKK
HH_Search_NonBrand_Alm_202301;10649.81;1441;64362;33;23358.10;31-01-2023;DKK
HH_Search_NonBrand_Alm_202309;16049.07;2959;56711;49;31464.00;24-09-2023;DKK
hh_dk_Search_NonBrand_Alm_202508;3616.74;639;9262;11;7862.26;27-08-2025;DKK
hh_dk_Search_Brand_Alm_202309;2392.24;334;15355;12;6374.74;08-09-2023;DKK
HH_Search_Brand_Havesaeson_202406;5825.78;1190;35021;25;15194.29;03-06-2024;DKK
HAVEHJ_Search_NonBrand_Alm_202502;13117.64;2201;40359;40;30719.11;06-02-2025;DKK
HH_Search_Brand_Alm_202301;4742.85;642;12730;24;10856.60;14-01-2023;DKK
hh_dk_Search_NonBrand_Alm_202301;22951.44;2599;97629;82;40934.06;17-01-2023;DKK
HH_Search_Brand_Havesaeson_202206;14193.44;3470;39712;58;43490.40;15-06-2022;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202311;15418.05;1810;43568;55;26994.01;09-11-2023;DKK
HAVEHJ_Search_NonBrand_BlackFriday_202511;5160.47;902;15073;16;9563.11;07-11-2025;DKK
hh_dk_Search_NonBrand_Alm_202508;8310.09;1123;28107;27;14225.26;13-08-2025;DKK
hh_dk_Search_Brand_Alm_202201;1541.86;312;5996;8;4455.70;07-01-2022;DKK
HAVEHJ_Search_Brand_Alm_202201;6058.82;1373;17347;27;17247.65;31-01-2022;DKK
Havehjornet_Search_Brand_BlackFriday_202311;16999.60;2210;98591;89;39313.01;30-11-2023;DKK
HH_Search_NonBrand_Jul_202412;2354.10;3449;66633;53;5205.93;08-12-2024;EUR
HH_Search_NonBrand_Alm_202302;23314.89;3968;65499;77;45993.23;11-02-2023;DKK
hh_dk_Search_Brand_Alm_202210;5714.08;1012;19876;28;17915.24;09-10-2022;DKK
Havehjornet_Search_Brand_Alm_202210;6522.24;882;18998;27;21951.42;11-10-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202501;7657.44;1146;22551;23;11978.67;17-01-2025;DKK
Havehjornet_Search_Brand_Alm_202310;6384.51;1557;26539;28;23153.91;09-10-2023;DKK
hh_dk_Search_Brand_Havesaeson_202506;10010.44;1362;44469;52;40795.32;26-06-2025;DKK
hh_dk_Search_Brand_Havesaeson_202506_kopi;12737.85;2118;60849;54;50238.63;21-06-2025;DKK
HH_Search_Brand_Alm_202501_kopi;3490.28;853;12558;14;8693.44;01-01-2025;DKK
HH_Search_Brand_Jul_202412;10514.40;1257;37971;48;34489.90;27-12-2024;DKK
