booking_start;booking_end;format;by;cost_dkk;currency
22-07-2024;07/28/2024;Storformat;Aarhus;17114,28;DKK
15-01-2024;01/21/2024;Citylight;Odense;70713,77;DKK
13-02-2023;02/19/2023;Citylight;Aarhus;154107,40;DKK
03-06-2024;06/09/2024;Bus shelter;Aarhus;149640,10;DKK
26-02-2024;03/03/2024;Bus shelter;Landsdaekkende;163214,64;DKK
27-10-2025;11/02/2025;Citylight;Koebenhavn;26353,80;EUR
19-02-2024;02/25/2024;Storformat;Aalborg;198681,74;DKK
25-11-2024;12/01/2024;Storformat;Koebenhavn;138561,14;DKK
27-10-2025;11/02/2025;Citylight;Koebenhavn;213460,05;DKK
13-10-2025;10/19/2025;Bus shelter;Koebenhavn;54520,75;DKK
12-05-2025;05/18/2025;Billboard;Aarhus;103959,03;DKK
03-04-2023;04/09/2023;Bus shelter;Aalborg;99884,21;DKK
25-04-2022;05/01/2022;Bus shelter;Koebenhavn;135802,01;DKK
06-06-2022;06/12/2022;Bus shelter;Aarhus;94481,04;DKK
31-03-2025;04/06/2025;Billboard;Aarhus;250284,84;DKK
10-07-2023;07/16/2023;Citylight;Aalborg;16065,24;DKK
19-05-2025;05/25/2025;Citylight;Odense;211587,02;DKK
04-08-2025;08/10/2025;Bus shelter;Koebenhavn;55682,67;DKK
15-12-2025;12/21/2025;Storformat;Landsdaekkende;88205,29;DKK
26-12-2022;01/01/2023;Storformat;Odense;74735,65;DKK
13-06-2022;06/19/2022;Citylight;Koebenhavn;245123,23;DKK
27-11-2023;12/03/2023;Bus shelter;Koebenhavn;231148,68;DKK
